          iter,	     step_size,	           obj,	          diff,	          Reeval,	       Dykstra,	     ConstEval
             0,	1.00000000e-02,	1.34285336e+01,	           inf,	              -1,	             9,	          1112
             0,	1.00000000e-02,	6.34676666e+00,	-1.71060989e+01,	             0,	             8,	           538
             1,	9.99999998e-03,	5.15280122e+00,	-1.43076667e+00,	             0,	             8,	           352
             2,	4.13600405e-02,	2.91439314e+00,	-3.15391182e+00,	             0,	             9,	           522
             3,	2.00185781e-01,	1.46262346e+00,	-3.16076955e+00,	             0,	            10,	           634
             4,	4.21472350e-01,	8.84815722e-01,	-6.09113909e+00,	             2,	            10,	           695
             5,	3.81102114e-01,	7.46686702e-01,	-2.15291108e+00,	             0,	             7,	           445
             6,	3.37626932e-01,	3.95417179e-01,	-5.27828784e+00,	             0,	             6,	           382
             7,	2.95972412e-01,	2.60844721e-01,	-4.85995134e-01,	             0,	             5,	           276
             8,	2.00482027e-01,	2.37782066e-01,	-2.62747044e-02,	             0,	             5,	           222
             9,	3.62616174e+00,	1.69941789e-01,	-2.04343328e-01,	             0,	             5,	           298
            10,	1.23883270e+01,	1.46895583e-01,	-2.53222507e-01,	             0,	             4,	           310
            11,	1.06988916e+01,	1.23252850e-01,	-1.04335326e-01,	             0,	             4,	           266
            12,	9.59520550e+00,	1.16785125e-01,	-7.60735904e-03,	             0,	             4,	           217
            13,	8.71516240e+00,	1.14023675e-01,	-2.79217747e-03,	             0,	             4,	           230
            14,	1.10758917e+02,	1.07113105e-01,	-8.22821998e-03,	             0,	             4,	           318
            15,	1.72007265e+03,	1.05599452e-01,	-6.64457042e-03,	             4,	             4,	           351
            16,	1.83410093e+03,	1.03788069e-01,	-1.57068592e-02,	             0,	             4,	           348
            17,	1.47018767e+03,	1.01888006e-01,	-2.15214917e-03,	             0,	             4,	           304
            18,	8.73870981e+02,	1.01327285e-01,	-5.61784146e-04,	             0,	             4,	           287
            19,	1.09694354e+04,	1.00663823e-01,	-1.89937548e-03,	             0,	             5,	           442
            20,	5.29246438e+03,	1.00612946e-01,	-6.02805123e-03,	             6,	             4,	           366
            21,	4.32620451e+03,	9.99675911e-02,	-6.58436016e-04,	             0,	             4,	           240
            22,	1.80810393e+03,	9.97676446e-02,	-2.08734063e-04,	             0,	             4,	           246
            23,	1.50385310e+04,	9.91659391e-02,	-1.04408420e-03,	             2,	             4,	           366
            24,	4.78350167e+03,	9.91549889e-02,	-3.02387305e-03,	             7,	             2,	           143
            25,	4.23892743e+03,	9.89895847e-02,	-2.15842792e-04,	             0,	             4,	           253
            26,	1.45310512e+03,	9.89427417e-02,	-7.69661940e-05,	             0,	             3,	           157
            27,	1.74082990e+03,	9.88733094e-02,	-7.71674540e-05,	             0,	             2,	           188
            28,	4.93103438e+03,	9.87077894e-02,	-1.98326188e-04,	             0,	             3,	           163
            29,	9.53818263e+03,	9.86723947e-02,	-1.92803926e-04,	             3,	             6,	           389
            30,	1.92750273e+03,	9.86232935e-02,	-6.60396001e-04,	             5,	             4,	           202
            31,	1.86473812e+03,	9.85445027e-02,	-1.18704551e-04,	             0,	             2,	           124
            32,	8.29217506e+02,	9.85239256e-02,	-2.19629206e-05,	             0,	             2,	            96
            33,	2.61217573e+03,	9.84856656e-02,	-6.96528645e-05,	             0,	             4,	           259
            34,	2.29245818e+04,	9.83589394e-02,	-2.59655011e-04,	             0,	             3,	           228
            35,	7.06697685e+03,	9.83079728e-02,	-1.90224987e-04,	             3,	             2,	           122
            36,	3.20513786e+03,	9.82781092e-02,	-3.44105814e-04,	             1,	             3,	           197
            37,	2.64556220e+03,	9.82408792e-02,	-4.15035845e-05,	             0,	             2,	           148
            38,	1.29928876e+03,	9.82293104e-02,	-1.29761842e-05,	             0,	             4,	           171
            39,	7.23588228e+03,	9.81995274e-02,	-6.67071104e-05,	             1,	             3,	           185
            40,	7.91767624e+04,	9.81806292e-02,	-3.09418275e-04,	             0,	             3,	           262
            41,	2.30983582e+04,	9.80909757e-02,	-2.12746784e-04,	             2,	             5,	           257
            42,	2.13816178e+04,	9.80652216e-02,	-4.06486017e-04,	             0,	             4,	           225
            43,	2.07600290e+04,	9.80613448e-02,	-6.62519335e-04,	             0,	             2,	           132
            44,	1.77253782e+04,	9.79745874e-02,	-1.43640796e-04,	             0,	             3,	           186
            45,	2.06715783e+04,	9.79196810e-02,	-1.43129033e-04,	             0,	             4,	           219
            46,	2.37328886e+04,	9.78664889e-02,	-1.02403673e-04,	             0,	             9,	           405
            47,	3.27828519e+04,	9.78406079e-02,	-1.39045914e-04,	             0,	             2,	           138
            48,	1.52197340e+04,	9.77818824e-02,	-8.19721857e-05,	             1,	             2,	           136
            49,	1.36545208e+04,	9.77665091e-02,	-3.31950732e-05,	             0,	             5,	           298
            50,	3.49866646e+05,	9.76944847e-02,	-1.96664478e-04,	             0,	             2,	           196
            51,	7.90915473e+04,	9.76183435e-02,	-2.67773663e-04,	             3,	             2,	           148
            52,	3.79697327e+04,	9.75891520e-02,	-9.37744713e-05,	             1,	             1,	           151
            53,	3.82377138e+04,	9.75574360e-02,	-6.72770752e-05,	             0,	             2,	           188
            54,	3.47933289e+04,	9.75251834e-02,	-5.59264969e-05,	             0,	             2,	           191
            55,	2.29601851e+04,	9.75176400e-02,	-4.20670064e-05,	             1,	             1,	           128
            56,	1.76171445e+04,	9.75057725e-02,	-2.21505383e-05,	             0,	             5,	           236
            57,	1.31291390e+04,	9.74990113e-02,	-9.15817949e-06,	             0,	             4,	           193
            58,	2.09767294e+04,	9.74923994e-02,	-1.37102244e-05,	             0,	             1,	           117
            59,	6.80031035e+04,	9.74717194e-02,	-3.53529468e-05,	             0,	             2,	           141
            60,	1.39905320e+05,	9.74618742e-02,	-7.61336937e-05,	             0,	             2,	           183
            61,	4.85865103e+04,	9.74358987e-02,	-8.75967471e-05,	             2,	             3,	           182
            62,	4.18417605e+04,	9.74289568e-02,	-1.47745884e-04,	             0,	             2,	           155
            63,	3.26156285e+04,	9.74130896e-02,	-5.12089838e-05,	             0,	             1,	           131
            64,	2.29222730e+04,	9.74039413e-02,	-6.37388595e-05,	             0,	             1,	           110
            65,	2.17493632e+04,	9.74015162e-02,	-4.92772896e-05,	             0,	             2,	           125
            66,	1.61689593e+04,	9.73858884e-02,	-4.15714728e-05,	             0,	             2,	           136
            67,	1.04521518e+04,	9.73766870e-02,	-1.47940986e-05,	             0,	             5,	           198
            68,	8.91199556e+03,	9.73764428e-02,	-7.68506289e-06,	             0,	             1,	            96
            69,	2.03518901e+04,	9.73747920e-02,	-1.43810410e-05,	             0,	             1,	           108
            70,	1.70342786e+04,	9.73730076e-02,	-1.26701478e-05,	             0,	             1,	            93
            71,	1.32700586e+04,	9.73705749e-02,	-1.25003666e-05,	             0,	             1,	            78
            72,	1.07594638e+04,	9.73688282e-02,	-1.41385487e-05,	             0,	             1,	            71
            73,	7.73226843e+03,	9.73651717e-02,	-1.51362729e-05,	             0,	             2,	           106
            74,	2.76728464e+03,	9.73644500e-02,	-8.14274822e-06,	             1,	             0,	            52
            75,	1.57987508e+03,	9.73627606e-02,	-4.97766094e-06,	             0,	             0,	            53
            76,	8.97342890e+02,	9.73625331e-02,	-7.45560522e-07,	             0,	             0,	            55
            77,	3.66523290e+02,	9.73624192e-02,	-1.95248929e-07,	             0,	             0,	            53
            78,	2.42202049e+02,	9.73623848e-02,	-3.66793784e-08,	             0,	             0,	            50
            79,	1.30981053e+03,	9.73621040e-02,	-4.03262689e-07,	             0,	             0,	            53
            80,	1.38498122e+03,	9.73620058e-02,	-1.87663519e-07,	             4,	             0,	            59
            81,	7.47139844e+02,	9.73619662e-02,	-1.23924623e-07,	             2,	             0,	            57
            82,	6.16977372e+02,	9.73619330e-02,	-6.62891267e-08,	             0,	             0,	            55
            83,	4.25143470e+02,	9.73619023e-02,	-3.88922433e-08,	             0,	             0,	            50
            84,	8.26104733e+02,	9.73618666e-02,	-4.66671524e-08,	             0,	             0,	            57
            85,	4.80838169e+03,	9.73617077e-02,	-4.45831390e-07,	             0,	             1,	            82
            86,	8.34292973e+02,	9.73617052e-02,	-2.98803690e-07,	             8,	             1,	            76
            87,	8.10347249e+02,	9.73616900e-02,	-6.01181466e-07,	             0,	             1,	            71
            88,	6.47517501e+02,	9.73616176e-02,	-7.87825643e-07,	             0,	             1,	            73
            89,	4.02556446e+02,	9.73614449e-02,	-4.06174451e-07,	             0,	             1,	            66
            90,	2.03274703e+02,	9.73614048e-02,	-4.52181930e-08,	             0,	             1,	            66
            91,	1.62447549e+02,	9.73613453e-02,	-6.63010360e-08,	             0,	             1,	            65
            92,	1.46420698e+03,	9.73609818e-02,	-3.78657605e-07,	             0,	             1,	            74
            93,	2.27000704e+04,	9.73604837e-02,	-1.48180811e-06,	             0,	             1,	           102
            94,	2.87908189e+05,	9.73494802e-02,	-3.94212232e-05,	             0,	             3,	           211
            95,	3.91120594e+04,	9.73377377e-02,	-4.19457813e-05,	             5,	             1,	           132
            96,	3.91727218e+04,	9.73289458e-02,	-5.71061698e-05,	             0,	             2,	           178
            97,	1.72647065e+04,	9.73198100e-02,	-2.74468232e-05,	             1,	             1,	            93
            98,	1.26547378e+04,	9.73139312e-02,	-1.45478794e-05,	             0,	             1,	            87
            99,	9.70573890e+03,	9.73112824e-02,	-4.92392260e-06,	             0,	             3,	           169
           100,	1.28604945e+04,	9.73066820e-02,	-6.89534931e-06,	             0,	             2,	           128
           101,	1.57328894e+04,	9.73030302e-02,	-8.26669870e-06,	             1,	             1,	            82
           102,	1.15823302e+04,	9.73023437e-02,	-7.62583130e-06,	             1,	             1,	            65
           103,	8.84856544e+03,	9.73011823e-02,	-6.00230374e-06,	             0,	             1,	            73
