          iter,	     step_size,	           obj,	          diff,	        Reeval,	       Dykstra,	     ConstEval
             0,	1.00000000e-02,	1.27256615e+00,	           inf,	            -1,	             9,	          1112
             0,	1.00000000e-02,	1.12608488e+00,	4.64539528e-02,	             0,	             7,	           293
             1,	9.99999984e-03,	1.02620957e+00,	3.82042676e-02,	             0,	             6,	           256
             2,	4.26428780e-02,	7.63623074e-01,	1.40580862e-01,	             0,	             7,	           328
             3,	2.55686169e-01,	4.38970088e-01,	4.66719350e-01,	             0,	             9,	           502
             4,	4.47690725e-01,	3.67262435e-01,	2.74058070e-01,	             0,	             9,	           522
             5,	2.11993152e+00,	3.13002876e-01,	6.28988134e-01,	             2,	            12,	           860
             6,	1.54639616e+00,	3.10597279e-01,	6.75762285e-01,	             3,	            13,	           950
             7,	1.32387444e+00,	2.76173941e-01,	7.70375478e-01,	             0,	            12,	           821
             8,	8.76919516e-01,	2.19467844e-01,	3.96014361e-01,	             0,	            12,	           727
             9,	5.57286552e-01,	2.09184680e-01,	8.64875365e-02,	             0,	            11,	           659
            10,	1.90195797e+00,	1.90376727e-01,	2.15306744e-01,	             0,	            13,	           866
            11,	1.01799175e+01,	1.50137016e-01,	6.74198781e-01,	             0,	            19,	          1471
            12,	1.81110029e+01,	1.38762103e-01,	9.16978985e-01,	             2,	            27,	          1966
            13,	2.33715208e+01,	1.12109273e-01,	1.07357896e+00,	             0,	            44,	          3137
            14,	2.09295044e+01,	9.81916481e-02,	4.41763400e-01,	             0,	            48,	          3164
            15,	1.78234042e+01,	9.41464307e-02,	1.78751440e-01,	             0,	            41,	          2594
            16,	8.07934459e+01,	8.80296762e-02,	3.52921601e-01,	             0,	            34,	          2534
            17,	7.90041705e+02,	8.77642660e-02,	4.38459191e-01,	             3,	            39,	          3152
            18,	2.33762683e+04,	8.56305327e-02,	4.45733598e-01,	             0,	            43,	          3832
            19,	9.90553889e+03,	8.43515999e-02,	1.05883263e-01,	             1,	            40,	          3018
            20,	8.42465714e+03,	8.41178542e-02,	5.34021501e-02,	             0,	            34,	          2380
            21,	1.83065362e+05,	8.36470799e-02,	2.03567101e-01,	             0,	            36,	          3279
            22,	2.60847211e+05,	8.28132158e-02,	1.11510016e-01,	             0,	            52,	          4329
            23,	2.21725150e+05,	8.25800011e-02,	3.74463963e-02,	             0,	            25,	          1942
            24,	1.71796488e+05,	8.25027593e-02,	1.72250008e-02,	             0,	            86,	          6775
            25,	1.70138845e+06,	8.23424658e-02,	5.45536301e-02,	             0,	           108,	          8523
            26,	3.18782261e+08,	8.23172411e-02,	7.57664732e-02,	             0,	           116,	         10397
            27,	2.55602894e+08,	8.22157181e-02,	4.76605349e-02,	             0,	            57,	          5713
            28,	2.19699980e+08,	8.21306392e-02,	1.83158330e-02,	             0,	            50,	          4492
            29,	2.34018321e+08,	8.20784509e-02,	1.65962576e-02,	             0,	           104,	         11519
            30,	8.30047946e+08,	8.20424782e-02,	3.55476902e-02,	             2,	           345,	         25375
            31,	4.37522799e+08,	8.19872047e-02,	1.53726368e-02,	             1,	            36,	          2690
            32,	4.86106131e+08,	8.19579759e-02,	1.42229637e-02,	             0,	            46,	          3208
            33,	5.09393485e+08,	8.18982928e-02,	1.32957230e-02,	             0,	            51,	          5015
            34,	5.20781725e+08,	8.18934194e-02,	1.04971514e-02,	             0,	            67,	          6183
            35,	3.59036472e+08,	8.18726817e-02,	8.80519824e-03,	             0,	            33,	          2461
            36,	2.80253720e+08,	8.18710793e-02,	7.00551256e-03,	             0,	            61,	          4536
            37,	1.94010115e+08,	8.18560947e-02,	3.92968167e-03,	             0,	            27,	          2857
            38,	1.35637115e+08,	8.18515456e-02,	2.83991882e-03,	             0,	            54,	          4746
            39,	6.57992659e+08,	8.18417613e-02,	7.17807353e-03,	             0,	            34,	          2742
            40,	1.80262774e+08,	8.18378205e-02,	2.26712654e-03,	             4,	            28,	          1775
            41,	1.75833725e+08,	8.18358429e-02,	1.96659868e-03,	             0,	            43,	          4130
            42,	4.60000269e+08,	8.18315272e-02,	5.39453391e-03,	             0,	            52,	          4879
            43,	2.60468334e+08,	8.18267309e-02,	4.11458029e-03,	             2,	            50,	          4617
            44,	3.21544868e+08,	8.18248771e-02,	5.03714460e-03,	             0,	           283,	         15669
            45,	1.53579542e+08,	8.18196174e-02,	2.98363489e-03,	             1,	            53,	          4816
            46,	1.23428662e+08,	8.18182701e-02,	1.52765826e-03,	             0,	            26,	          2594
            47,	1.08012363e+08,	8.18166040e-02,	1.69373025e-03,	             0,	            16,	          1239
            48,	2.45677932e+08,	8.18140698e-02,	3.00951095e-03,	             0,	            57,	          5136
            49,	2.12096656e+08,	8.18120216e-02,	2.73600534e-03,	             1,	            65,	          5874
            50,	2.41666437e+08,	8.18106848e-02,	2.94848707e-03,	             0,	            24,	          1655
            51,	2.32337857e+08,	8.18088527e-02,	3.17559895e-03,	             0,	            23,	          1653
            52,	1.98771011e+08,	8.18063983e-02,	3.63336761e-03,	             0,	            60,	          3382
            53,	1.66373616e+08,	8.18035434e-02,	2.69993659e-03,	             0,	            55,	          4727
            54,	1.21112255e+08,	8.18028059e-02,	2.04380830e-03,	             0,	            26,	          2529
            55,	1.02684295e+08,	8.18010263e-02,	2.39032561e-03,	             0,	            51,	          2984
            56,	1.09741832e+08,	8.17999798e-02,	1.78173629e-03,	             0,	            47,	          3829
            57,	1.33128715e+08,	8.17990197e-02,	2.33633960e-03,	             0,	            39,	          2428
            58,	1.47638569e+08,	8.17987494e-02,	2.08224344e-03,	             0,	            33,	          1986
            59,	1.17228462e+08,	8.17972843e-02,	2.30764669e-03,	             0,	            49,	          4256
            60,	1.10526933e+08,	8.17964589e-02,	2.11919453e-03,	             0,	            22,	          1376
            61,	8.08016815e+07,	8.17954890e-02,	1.61918794e-03,	             0,	            20,	          1258
            62,	6.32345788e+07,	8.17952146e-02,	8.54507285e-04,	             0,	            25,	          1406
            63,	4.14456753e+07,	8.17947970e-02,	8.23967511e-04,	             0,	            20,	          1159
            64,	4.16118157e+07,	8.17943645e-02,	7.68221207e-04,	             0,	            21,	          1179
            65,	5.14742393e+07,	8.17941014e-02,	7.03683193e-04,	             0,	            21,	          1266
            66,	5.16893335e+07,	8.17939903e-02,	6.71388460e-04,	             0,	            18,	          1088
            67,	5.27663409e+07,	8.17937640e-02,	8.92060709e-04,	             0,	            46,	          2154
            68,	5.37584748e+07,	8.17935435e-02,	9.17303359e-04,	             0,	            29,	          1471
            69,	4.19479879e+07,	8.17925950e-02,	1.11035637e-03,	             0,	            39,	          2883
            70,	6.83458780e+07,	8.17923285e-02,	1.42904960e-03,	             0,	            49,	          4103
            71,	9.91033010e+07,	8.17917992e-02,	1.46484575e-03,	             0,	            26,	          2643
            72,	8.99548418e+07,	8.17914287e-02,	1.46841983e-03,	             0,	            93,	          9710
            73,	1.00809015e+08,	8.17906472e-02,	1.74481466e-03,	             0,	            63,	          5053
            74,	9.00060267e+07,	8.17898653e-02,	1.61300584e-03,	             0,	            59,	          4747
            75,	8.26298246e+07,	8.17896394e-02,	1.54846242e-03,	             0,	            46,	          4092
            76,	5.43113004e+07,	8.17892602e-02,	1.43610734e-03,	             0,	            20,	          1963
            77,	3.63592925e+07,	8.17885407e-02,	1.07279091e-03,	             0,	            25,	          1479
            78,	2.89019390e+07,	8.17881331e-02,	6.40861110e-04,	             0,	            17,	          1014
            79,	1.90436976e+07,	8.17880789e-02,	3.66221002e-04,	             1,	            16,	           986
            80,	1.13240491e+07,	8.17880663e-02,	3.89686723e-04,	             1,	            19,	          1111
            81,	8.30316375e+06,	8.17880450e-02,	3.89684748e-04,	             0,	            17,	           985
            82,	7.14567736e+06,	8.17879823e-02,	3.60946761e-04,	             0,	            21,	          1105
            83,	6.18103381e+06,	8.17879754e-02,	3.28648021e-04,	             0,	            22,	          1138
            84,	9.59075747e+05,	8.17879726e-02,	3.22975700e-05,	             2,	            17,	           879
            85,	2.13215191e+05,	8.17879725e-02,	8.88270975e-09,	             2,	            18,	           907
