          iter,	     step_size,	           obj,	          diff,	        Reeval,	       Dykstra,	     ConstEval
             0,	1.00000000e-02,	4.03013040e+00,	           inf,	            -1,	             0,	             1
             0,	1.00000000e-02,	1.49812516e+00,	1.92859386e-02,	             0,	             0,	             9
             1,	1.00000000e-02,	1.49163555e+00,	2.51328788e-03,	             0,	             0,	            10
             2,	2.78799179e-03,	1.49018185e+00,	6.24232799e-04,	             0,	             0,	             7
             3,	2.72019694e-02,	1.47916531e+00,	5.69905864e-03,	             0,	             0,	            10
             4,	1.14782840e+00,	1.44304228e+00,	9.34509398e-02,	             0,	             0,	            12
             5,	5.26483797e+00,	1.44001823e+00,	7.76051599e-02,	             0,	             0,	            16
             6,	3.76030460e+00,	1.43971704e+00,	1.19827283e-02,	             0,	             0,	            16
             7,	3.29770714e+00,	1.43955349e+00,	7.59388140e-03,	             0,	             0,	            19
             8,	2.59934123e+01,	1.43908347e+00,	3.57739163e-02,	             0,	             0,	            19
             9,	3.37011475e+02,	1.43878099e+00,	8.84698675e-02,	             0,	             0,	            23
            10,	2.32606941e+03,	1.43832654e+00,	1.36091958e-01,	             0,	             0,	             1
            11,	1.43082547e+03,	1.43779231e+00,	3.86338208e-02,	             0,	             0,	             1
            12,	1.29888814e+03,	1.43692364e+00,	3.50107280e-02,	             0,	             0,	             1
            13,	2.23471106e+01,	1.43685657e+00,	9.34780436e-03,	             6,	             0,	             1
            14,	2.21325854e+01,	1.43647243e+00,	9.80222785e-03,	             0,	             0,	             1
            15,	1.65750356e+01,	1.43632325e+00,	1.56213287e-03,	             0,	             0,	             1
            16,	8.19736898e+00,	1.43624260e+00,	8.20081506e-04,	             0,	             0,	             1
            17,	7.71700102e+01,	1.43530561e+00,	7.65092671e-03,	             0,	             0,	             1
            18,	1.79288437e+02,	1.43315830e+00,	2.16186178e-02,	             3,	             0,	             1
            19,	3.72888182e+00,	1.43255698e+00,	4.73136450e-03,	             7,	             0,	             1
            20,	3.68613937e+00,	1.43113899e+00,	1.95341670e-03,	             0,	             0,	             1
            21,	1.88855311e+00,	1.43094745e+00,	5.90536692e-04,	             0,	             0,	             1
            22,	1.27192649e+01,	1.42949671e+00,	4.00851458e-03,	             0,	             0,	             1
            23,	3.27847611e+01,	1.42543621e+00,	9.84093940e-03,	             4,	             0,	             1
            24,	1.40442195e+02,	1.41356158e+00,	3.76691265e-02,	             0,	             0,	             1
            25,	4.50449446e+01,	1.40685241e+00,	1.72263915e-02,	             2,	             0,	             1
            26,	8.29749931e-01,	1.39616218e+00,	9.01273633e-03,	             6,	             0,	             1
            27,	8.24831441e-01,	1.37274216e+00,	1.64629130e-03,	             0,	             0,	             1
            28,	4.66078371e-01,	1.36941880e+00,	5.47877568e-04,	             0,	             0,	             1
            29,	2.34040027e+00,	1.34901697e+00,	2.83724221e-03,	             0,	             0,	             1
            30,	3.42441852e+01,	4.81801794e-01,	3.65698290e-02,	             0,	             0,	             1
